benchmark	Type	Orig	Prop	Class	logs.Storm.topovi-abs-e3-g5	logs.Storm.topoii-abs-e3-g5	logs.Storm.ii-abs-e3-g5	logs.Storm.topopi-abs-e3-g5	logs.Storm.topopi-abs-einf	logs.Storm.topoii-abs-e3-g01	logs.Storm.topoii-abs-e3-g1	logs.Storm.topoii-abs-e3-g25	logs.Storm.topoii-abs-e3-g75	logs.Storm.topoii-abs-e3-g9	logs.Storm.topoii-abs-e3-g99	logs.Storm.topoii-abs-e1-g5	logs.Storm.topoii-abs-e2-g5	logs.Storm.topoii-abs-e4-g5	logs.Storm.topoii-abs-e5-g5	logs.Storm.topoii-abs-e6-g5	logs.mcsta.ii-rel-e3-g5	logs.mcsta.vi-abs-e3-g5	logs.mcsta.ii-abs-e3-g01	logs.mcsta.ii-abs-e3-g1	logs.mcsta.ii-abs-e3-g25	logs.mcsta.ii-abs-e3-g5	logs.mcsta.ii-abs-e3-g75	logs.mcsta.ii-abs-e3-g9	logs.mcsta.ii-abs-e3-g99	logs.mcsta.ii-abs-e1-g5	logs.mcsta.ii-abs-e2-g5	logs.mcsta.ii-abs-e4-g5	logs.mcsta.ii-abs-e5-g5	logs.mcsta.ii-abs-e6-g5	best
consensus.2-4.multi_neg	mdp	prism	M	2obj	3.0	3.0	3.0	3.0	256	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0
consensus.2-8.multi_neg	mdp	prism	M	2obj	3.0	3.0	3.0	3.0	256	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0
consensus.2-16.multi_neg	mdp	prism	M	2obj	2.0	3.0	3.0	3.0	256	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0
consensus.4-2.multi_neg	mdp	prism	M	2obj	13.0	6.0	6.0	6.0	256	6.0	6.0	6.0	6.0	6.0	6.0	3.0	5.0	6.0	6.0	6.0	6.0	256	6.0	6.0	6.0	6.0	6.0	6.0	6.0	3.0	4.0	6.0	6.0	6.0	3.0
consensus.4-4.multi_neg	mdp	prism	M	2obj	6.0	6.0	6.0	5.0	256	5.0	5.0	5.0	6.0	6.0	6.0	3.0	5.0	6.0	6.0	6.0	5.0	256	5.0	5.0	5.0	5.0	5.0	5.0	5.0	3.0	5.0	6.0	6.0	6.0	3.0
consensus.6-2.multi_neg	mdp	prism	M	2obj	8.0	6.0	6.0	256	256	6.0	6.0	6.0	6.0	6.0	6.0	4.0	4.0	6.0	6.0	6.0	6.0	256	6.0	6.0	6.0	6.0	6.0	6.0	6.0	4.0	4.0	6.0	6.0	6.0	4.0
consensus.8-2.multi_neg	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
consensus.10-2.multi_neg	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
csma.2-2.multi_pos	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
csma.2-4.multi_pos	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
csma.2-6.multi_pos	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
csma.3-2.multi_pos	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
csma.3-4.multi_pos	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	5.0	8.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	5.0	8.0	2.0
csma.3-6.multi_pos	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
csma.4-2.multi_pos	mdp	prism	M	2obj	7.0	4.0	4.0	4.0	256	4.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	3.0	4.0	4.0	4.0	2.0
csma.4-4.multi_pos	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
csma.4-6.multi_pos	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
csma.2-2.multi_neg	mdp	prism	M	3obj	3.0	3.0	3.0	3.0	256	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
csma.2-4.multi_neg	mdp	prism	M	3obj	3.0	3.0	3.0	3.0	256	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
csma.2-6.multi_neg	mdp	prism	M	3obj	3.0	3.0	3.0	3.0	256	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
csma.3-2.multi_neg	mdp	prism	M	3obj	3.0	3.0	3.0	3.0	256	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
csma.3-4.multi_neg	mdp	prism	M	3obj	3.0	3.0	3.0	3.0	256	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	6.0	12.0	27.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	7.0	10.0	20.0	3.0
csma.3-6.multi_neg	mdp	prism	M	3obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
csma.4-2.multi_neg	mdp	prism	M	3obj	10.0	8.0	8.0	8.0	256	8.0	8.0	8.0	8.0	8.0	8.0	5.0	6.0	8.0	8.0	8.0	9.0	9.0	6.0	6.0	6.0	6.0	6.0	14.0	10.0	3.0	6.0	9.0	9.0	9.0	3.0
csma.4-4.multi_neg	mdp	prism	M	3obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
csma.4-6.multi_neg	mdp	prism	M	3obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
eajs.2-100-5.Multi	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
eajs.3-150-7.Multi	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
eajs.4-200-9.Multi	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	5.0	13.0	30.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
